period,region,province,countryOfResidence,typeOfExercise,arrivals,presences
2016-01-01,TUS,SI,WLD,EXTRHOT,11364.0,43530.0
2016-02-01,TUS,SI,WLD,EXTRHOT,11706.0,38803.0
2016-03-01,TUS,SI,WLD,EXTRHOT,31507.0,90381.0
2016-04-01,TUS,SI,WLD,EXTRHOT,47562.0,135432.0
2016-05-01,TUS,SI,WLD,EXTRHOT,70407.0,233669.0
2016-06-01,TUS,SI,WLD,EXTRHOT,75530.0,266229.0
2016-07-01,TUS,SI,WLD,EXTRHOT,96330.0,403791.0
2016-08-01,TUS,SI,WLD,EXTRHOT,102135.0,459258.0
2016-09-01,TUS,SI,WLD,EXTRHOT,79708.0,272951.0
2016-10-01,TUS,SI,WLD,EXTRHOT,59126.0,178553.0
2016-11-01,TUS,SI,WLD,EXTRHOT,17124.0,56005.0
2016-12-01,TUS,SI,WLD,EXTRHOT,24646.0,64958.0
2017-01-01,TUS,SI,WLD,EXTRHOT,13589.0,48277.0
2017-02-01,TUS,SI,WLD,EXTRHOT,11280.0,37905.0
2017-03-01,TUS,SI,WLD,EXTRHOT,23525.0,64095.0
2017-04-01,TUS,SI,WLD,EXTRHOT,78182.0,206165.0
2017-05-01,TUS,SI,WLD,EXTRHOT,71435.0,222767.0
2017-06-01,TUS,SI,WLD,EXTRHOT,85835.0,299130.0
2017-07-01,TUS,SI,WLD,EXTRHOT,103378.0,431286.0
2017-08-01,TUS,SI,WLD,EXTRHOT,110416.0,487369.0
2017-09-01,TUS,SI,WLD,EXTRHOT,91838.0,297063.0
2017-10-01,TUS,SI,WLD,EXTRHOT,62764.0,184375.0
2017-11-01,TUS,SI,WLD,EXTRHOT,21568.0,64045.0
2017-12-01,TUS,SI,WLD,EXTRHOT,28922.0,72942.0
2018-01-01,TUS,SI,WLD,EXTRHOT,14644.0,54967.0
2018-02-01,TUS,SI,WLD,EXTRHOT,13237.0,44176.0
2018-03-01,TUS,SI,WLD,EXTRHOT,34924.0,90103.0
2018-04-01,TUS,SI,WLD,EXTRHOT,71710.0,195728.0
2018-05-01,TUS,SI,WLD,EXTRHOT,87870.0,280614.0
2018-06-01,TUS,SI,WLD,EXTRHOT,95126.0,310256.0
2018-07-01,TUS,SI,WLD,EXTRHOT,109734.0,464921.0
2018-08-01,TUS,SI,WLD,EXTRHOT,118978.0,507757.0
2018-09-01,TUS,SI,WLD,EXTRHOT,100082.0,318873.0
2018-10-01,TUS,SI,WLD,EXTRHOT,65697.0,197103.0
2018-11-01,TUS,SI,WLD,EXTRHOT,27320.0,74717.0
2018-12-01,TUS,SI,WLD,EXTRHOT,28975.0,73158.0
2019-01-01,TUS,SI,WLD,EXTRHOT,13612.0,49270.0
2019-02-01,TUS,SI,WLD,EXTRHOT,12802.0,39971.0
2019-03-01,TUS,SI,WLD,EXTRHOT,29661.0,75042.0
2019-04-01,TUS,SI,WLD,EXTRHOT,88573.0,230107.0
2019-05-01,TUS,SI,WLD,EXTRHOT,84587.0,249328.0
2019-06-01,TUS,SI,WLD,EXTRHOT,103803.0,338554.0
2019-07-01,TUS,SI,WLD,EXTRHOT,107787.0,438992.0
2019-08-01,TUS,SI,WLD,EXTRHOT,125915.0,502645.0
2019-09-01,TUS,SI,WLD,EXTRHOT,105245.0,326190.0
2019-10-01,TUS,SI,WLD,EXTRHOT,76278.0,220609.0
2019-11-01,TUS,SI,WLD,EXTRHOT,29313.0,75845.0
2019-12-01,TUS,SI,WLD,EXTRHOT,27746.0,70792.0
2020-01-01,TUS,SI,WLD,EXTRHOT,17254.0,55362.0
2020-02-01,TUS,SI,WLD,EXTRHOT,14974.0,41549.0
2020-03-01,TUS,SI,WLD,EXTRHOT,2809.0,20571.0
2020-04-01,TUS,SI,WLD,EXTRHOT,226.0,14589.0
2020-05-01,TUS,SI,WLD,EXTRHOT,928.0,15157.0
2020-06-01,TUS,SI,WLD,EXTRHOT,22272.0,62539.0
2020-07-01,TUS,SI,WLD,EXTRHOT,68512.0,242989.0
2020-08-01,TUS,SI,WLD,EXTRHOT,129104.0,474499.0
2020-09-01,TUS,SI,WLD,EXTRHOT,82007.0,245317.0
2020-10-01,TUS,SI,WLD,EXTRHOT,41038.0,114107.0
2020-11-01,TUS,SI,WLD,EXTRHOT,2758.0,22464.0
2020-12-01,TUS,SI,WLD,EXTRHOT,1259.0,18059.0
2021-01-01,TUS,SI,WLD,EXTRHOT,2187.0,22314.0
2021-02-01,TUS,SI,WLD,EXTRHOT,2888.0,24723.0
2021-03-01,TUS,SI,WLD,EXTRHOT,2343.0,27252.0
2021-04-01,TUS,SI,WLD,EXTRHOT,3960.0,27494.0
2021-05-01,TUS,SI,WLD,EXTRHOT,39592.0,100390.0
2021-06-01,TUS,SI,WLD,EXTRHOT,65210.0,188478.0
2021-07-01,TUS,SI,WLD,EXTRHOT,117858.0,413384.0
2021-08-01,TUS,SI,WLD,EXTRHOT,149428.0,578375.0
2021-09-01,TUS,SI,WLD,EXTRHOT,106890.0,334922.0
2021-10-01,TUS,SI,WLD,EXTRHOT,82459.0,220685.0
2021-11-01,TUS,SI,WLD,EXTRHOT,23261.0,64474.0
2021-12-01,TUS,SI,WLD,EXTRHOT,26379.0,67633.0
