period,region,province,countryOfResidence,typeOfExercise,arrivals,presences
2016-01-01,TUS,PT,WLD,TOT,30388.0,71246.0
2016-02-01,TUS,PT,WLD,TOT,34994.0,68494.0
2016-03-01,TUS,PT,WLD,TOT,72492.0,156005.0
2016-04-01,TUS,PT,WLD,TOT,84811.0,189696.0
2016-05-01,TUS,PT,WLD,TOT,89889.0,236835.0
2016-06-01,TUS,PT,WLD,TOT,96545.0,252105.0
2016-07-01,TUS,PT,WLD,TOT,96713.0,306309.0
2016-08-01,TUS,PT,WLD,TOT,91780.0,329353.0
2016-09-01,TUS,PT,WLD,TOT,87438.0,264386.0
2016-10-01,TUS,PT,WLD,TOT,83237.0,205459.0
2016-11-01,TUS,PT,WLD,TOT,37109.0,78643.0
2016-12-01,TUS,PT,WLD,TOT,42620.0,83366.0
2017-01-01,TUS,PT,WLD,TOT,29692.0,68138.0
2017-02-01,TUS,PT,WLD,TOT,35236.0,73531.0
2017-03-01,TUS,PT,WLD,TOT,58550.0,129008.0
2017-04-01,TUS,PT,WLD,TOT,106762.0,245084.0
2017-05-01,TUS,PT,WLD,TOT,92944.0,236020.0
2017-06-01,TUS,PT,WLD,TOT,103188.0,262927.0
2017-07-01,TUS,PT,WLD,TOT,94294.0,320491.0
2017-08-01,TUS,PT,WLD,TOT,94951.0,327732.0
2017-09-01,TUS,PT,WLD,TOT,93343.0,270386.0
2017-10-01,TUS,PT,WLD,TOT,78522.0,199412.0
2017-11-01,TUS,PT,WLD,TOT,49021.0,106324.0
2017-12-01,TUS,PT,WLD,TOT,46654.0,93050.0
2018-01-01,TUS,PT,WLD,TOT,34111.0,75226.0
2018-02-01,TUS,PT,WLD,TOT,39631.0,79259.0
2018-03-01,TUS,PT,WLD,TOT,77959.0,167739.0
2018-04-01,TUS,PT,WLD,TOT,104460.0,241652.0
2018-05-01,TUS,PT,WLD,TOT,105713.0,277052.0
2018-06-01,TUS,PT,WLD,TOT,102262.0,263216.0
2018-07-01,TUS,PT,WLD,TOT,103548.0,318172.0
2018-08-01,TUS,PT,WLD,TOT,94053.0,316244.0
2018-09-01,TUS,PT,WLD,TOT,94391.0,269674.0
2018-10-01,TUS,PT,WLD,TOT,82901.0,208745.0
2018-11-01,TUS,PT,WLD,TOT,47230.0,104614.0
2018-12-01,TUS,PT,WLD,TOT,39064.0,82209.0
2019-01-01,TUS,PT,WLD,TOT,31742.0,69889.0
2019-02-01,TUS,PT,WLD,TOT,39335.0,80931.0
2019-03-01,TUS,PT,WLD,TOT,66341.0,143531.0
2019-04-01,TUS,PT,WLD,TOT,109689.0,258839.0
2019-05-01,TUS,PT,WLD,TOT,97667.0,244267.0
2019-06-01,TUS,PT,WLD,TOT,100814.0,246021.0
2019-07-01,TUS,PT,WLD,TOT,98842.0,292505.0
2019-08-01,TUS,PT,WLD,TOT,92960.0,303256.0
2019-09-01,TUS,PT,WLD,TOT,91937.0,260644.0
2019-10-01,TUS,PT,WLD,TOT,86849.0,215204.0
2019-11-01,TUS,PT,WLD,TOT,47074.0,105961.0
2019-12-01,TUS,PT,WLD,TOT,40479.0,83616.0
2020-01-01,TUS,PT,WLD,TOT,36566.0,83615.0
2020-02-01,TUS,PT,WLD,TOT,33237.0,74441.0
2020-03-01,TUS,PT,WLD,TOT,4511.0,17062.0
2020-04-01,TUS,PT,WLD,TOT,283.0,5956.0
2020-05-01,TUS,PT,WLD,TOT,3147.0,12731.0
2020-06-01,TUS,PT,WLD,TOT,12124.0,30069.0
2020-07-01,TUS,PT,WLD,TOT,27767.0,83044.0
2020-08-01,TUS,PT,WLD,TOT,54656.0,177803.0
2020-09-01,TUS,PT,WLD,TOT,30587.0,84573.0
2020-10-01,TUS,PT,WLD,TOT,18069.0,45378.0
2020-11-01,TUS,PT,WLD,TOT,5967.0,21128.0
2020-12-01,TUS,PT,WLD,TOT,5135.0,17101.0
2021-01-01,TUS,PT,WLD,TOT,9467.0,22144.0
2021-02-01,TUS,PT,WLD,TOT,11275.0,25887.0
2021-03-01,TUS,PT,WLD,TOT,7930.0,24144.0
2021-04-01,TUS,PT,WLD,TOT,7061.0,19657.0
2021-05-01,TUS,PT,WLD,TOT,15803.0,36049.0
2021-06-01,TUS,PT,WLD,TOT,24528.0,61778.0
2021-07-01,TUS,PT,WLD,TOT,50391.0,157679.0
2021-08-01,TUS,PT,WLD,TOT,79227.0,283072.0
2021-09-01,TUS,PT,WLD,TOT,50844.0,149543.0
2021-10-01,TUS,PT,WLD,TOT,45929.0,113555.0
2021-11-01,TUS,PT,WLD,TOT,23814.0,57720.0
2021-12-01,TUS,PT,WLD,TOT,29661.0,62976.0
