period,region,province,countryOfResidence,typeOfExercise,arrivals,presences
2016-01-01,TUS,LU,WLD,HOT,20121.0,65965.0
2016-02-01,TUS,LU,WLD,HOT,31197.0,76268.0
2016-03-01,TUS,LU,WLD,HOT,50550.0,131587.0
2016-04-01,TUS,LU,WLD,HOT,67699.0,166549.0
2016-05-01,TUS,LU,WLD,HOT,87065.0,245109.0
2016-06-01,TUS,LU,WLD,HOT,97188.0,327652.0
2016-07-01,TUS,LU,WLD,HOT,110897.0,442922.0
2016-08-01,TUS,LU,WLD,HOT,104807.0,475064.0
2016-09-01,TUS,LU,WLD,HOT,92573.0,327029.0
2016-10-01,TUS,LU,WLD,HOT,63172.0,174518.0
2016-11-01,TUS,LU,WLD,HOT,23688.0,58372.0
2016-12-01,TUS,LU,WLD,HOT,26034.0,62769.0
2017-01-01,TUS,LU,WLD,HOT,21145.0,52384.0
2017-02-01,TUS,LU,WLD,HOT,36335.0,71952.0
2017-03-01,TUS,LU,WLD,HOT,41693.0,98059.0
2017-04-01,TUS,LU,WLD,HOT,90935.0,219083.0
2017-05-01,TUS,LU,WLD,HOT,86895.0,230600.0
2017-06-01,TUS,LU,WLD,HOT,107726.0,341360.0
2017-07-01,TUS,LU,WLD,HOT,107975.0,427969.0
2017-08-01,TUS,LU,WLD,HOT,101771.0,448361.0
2017-09-01,TUS,LU,WLD,HOT,93358.0,311223.0
2017-10-01,TUS,LU,WLD,HOT,58490.0,154126.0
2017-11-01,TUS,LU,WLD,HOT,29522.0,67040.0
2017-12-01,TUS,LU,WLD,HOT,25844.0,54328.0
2018-01-01,TUS,LU,WLD,HOT,21904.0,48323.0
2018-02-01,TUS,LU,WLD,HOT,34386.0,65703.0
2018-03-01,TUS,LU,WLD,HOT,44396.0,94699.0
2018-04-01,TUS,LU,WLD,HOT,82068.0,191087.0
2018-05-01,TUS,LU,WLD,HOT,90249.0,239117.0
2018-06-01,TUS,LU,WLD,HOT,111149.0,334938.0
2018-07-01,TUS,LU,WLD,HOT,108761.0,428012.0
2018-08-01,TUS,LU,WLD,HOT,103387.0,455974.0
2018-09-01,TUS,LU,WLD,HOT,95188.0,312878.0
2018-10-01,TUS,LU,WLD,HOT,58627.0,157701.0
2018-11-01,TUS,LU,WLD,HOT,29796.0,67477.0
2018-12-01,TUS,LU,WLD,HOT,28218.0,58630.0
2019-01-01,TUS,LU,WLD,HOT,21972.0,47899.0
2019-02-01,TUS,LU,WLD,HOT,33816.0,65388.0
2019-03-01,TUS,LU,WLD,HOT,47519.0,104811.0
2019-04-01,TUS,LU,WLD,HOT,77778.0,192566.0
2019-05-01,TUS,LU,WLD,HOT,82358.0,209636.0
2019-06-01,TUS,LU,WLD,HOT,109392.0,332984.0
2019-07-01,TUS,LU,WLD,HOT,104474.0,402032.0
2019-08-01,TUS,LU,WLD,HOT,106128.0,446846.0
2019-09-01,TUS,LU,WLD,HOT,94398.0,304107.0
2019-10-01,TUS,LU,WLD,HOT,62209.0,157579.0
2019-11-01,TUS,LU,WLD,HOT,28534.0,62650.0
2019-12-01,TUS,LU,WLD,HOT,26559.0,53299.0
2020-01-01,TUS,LU,WLD,HOT,22011.0,49405.0
2020-02-01,TUS,LU,WLD,HOT,22451.0,47260.0
2020-03-01,TUS,LU,WLD,HOT,2374.0,6891.0
2020-04-01,TUS,LU,WLD,HOT,241.0,2094.0
2020-05-01,TUS,LU,WLD,HOT,2428.0,6695.0
2020-06-01,TUS,LU,WLD,HOT,30106.0,69937.0
2020-07-01,TUS,LU,WLD,HOT,73143.0,238516.0
2020-08-01,TUS,LU,WLD,HOT,87431.0,354964.0
2020-09-01,TUS,LU,WLD,HOT,57201.0,174687.0
2020-10-01,TUS,LU,WLD,HOT,17855.0,45854.0
2020-11-01,TUS,LU,WLD,HOT,4519.0,12284.0
2020-12-01,TUS,LU,WLD,HOT,3690.0,11199.0
2021-01-01,TUS,LU,WLD,HOT,7071.0,17484.0
2021-02-01,TUS,LU,WLD,HOT,8262.0,18284.0
2021-03-01,TUS,LU,WLD,HOT,8196.0,20362.0
2021-04-01,TUS,LU,WLD,HOT,8522.0,19511.0
2021-05-01,TUS,LU,WLD,HOT,33073.0,67185.0
2021-06-01,TUS,LU,WLD,HOT,75012.0,207652.0
2021-07-01,TUS,LU,WLD,HOT,99769.0,368892.0
2021-08-01,TUS,LU,WLD,HOT,103626.0,440487.0
2021-09-01,TUS,LU,WLD,HOT,76443.0,251387.0
2021-10-01,TUS,LU,WLD,HOT,48784.0,112952.0
2021-11-01,TUS,LU,WLD,HOT,17378.0,36768.0
2021-12-01,TUS,LU,WLD,HOT,17189.0,36229.0
